name,marca,descrizione,image_url
"Caricatore a nastro per viti cartongesso
BTS-BSA",AEG,"Compatibile con avvitatore per cartongesso AEG 12V e 18V; Compatibile con strisce di viti standard per cartongesso; Lunghezza totale 238 mm; Ampia feritoia per pulirlo da eventuali residui di polvere; Regolazione profondità di precisione +/-3 mm; Regolazione in base alla lunghezza della vite; Adatto per viti da 25 mm a 55 mm; Massimo diametro vite 4,2 mm",/images/aeg_products/Caricatore_a_nastro_per_viti_cartongesso_BTS-BSA.webp
"PUNTE PER MURATURA
Masonry Drill Bits",AEG,Per fori su mattone e blocchi cavi di cemento,/images/aeg_products/PUNTE_PER_MURATURA_Masonry_Drill_Bits.webp
"ACCESSORI LUCIDATURA CON VELCRO
Polishing Accessories- Hook & Loop",AEG,"(mm) 150
Altezza (mm) 25",/images/aeg_products/ACCESSORI_LUCIDATURA_CON_VELCRO_Polishing_Accessories-_Hook_&_Loop.webp
"Martello demo-perforatore 10 kg SDS-Max
PN 11E",AEG,"Potente motore da  1700 watt; Energia d'impatto 20 J, per lavori pesanti di demolizione; Capacità di foratura nel calcestruzzo: 50 mm; Elettronica per la variazione della velocità; Limitazione della velocità in caso di funzionamento a vuoto; AVS- sistema antivibrazione: riduce significativamente le vibrazioni, per un maggior comfort di utilizzo; La frizione di sicurezza protegge sia l’utilizzatore che l’utensile; Avviamento morbido per un’ottimale controllo della scalpellatura/foratura; ""Luce service"" indica la necessita' di manutenzione; Spazzole con distacco automatico; Impugnatura morbida per una maggiore comodità e maneggevolezza d'uso; Fornito con impugnatura a ""D"", impugnatura addizionale e grasso; Accesso rapido alle spazzole",/images/aeg_products/Martello_demo-perforatore_10_kg_SDS-Max_PN_11E.webp
"Avvitatore per cartongesso 18V
BTS 18BL",AEG,"Compatto e leggero avvitatore per cartongesso con OAL di 266mm/418mm; Motore molto potente, da 5000 g/min; Funzionalità Drive per un maggiore confort di utilizzo; Incredibile autonomia, fino a 3.000 viti con una batteria 18V da 5.0Ah; Beccucciio di profondità regolabile; Attacc Hex da 1/4' a rilascio rapido; Compatibile con tutte le batterie da 18 V AEG; Cella singola della batteria per una maggiore durata; Clip per agganciare l'utensile sulla cintura",/images/aeg_products/Avvitatore_per_cartongesso_18V_BTS_18BL.webp
"Smerigliatrice diritta 600 W
GSL 600 E",AEG,Elettronica per la variazione della velocità; Gambo lungo per un facile accesso nei punti difficili; Design compatto; Distacco automatico delle spazzole; Carcassa anteriore metallica per una rotazione perfettamente equilibrata; Peso solo 1.9 kg; Interruttore ergonomico; Fornita con chiave e pinza di serraggio 6 mm,/images/aeg_products/Smerigliatrice_diritta_600_W_GSL_600_E.webp
"Troncatrice per metallo 355 mm
SMT 355",AEG,Potente motore da 2300 watt; Inclinazione di taglio 0 - 45° con facile rilascio del morsetto da taglio; Blocco dell’albero per una rapida sostituzione della lama e degli accessori; Protezione dalle scintille; Ampia protezione per una maggiore sicurezza; Comparto chiave; Base in gomma per maggiore stabilità; Sostituzione dei carboncini facilitata; Fornita con disco 355 mm e chiave,/images/aeg_products/Troncatrice_per_metallo_355_mm_SMT_355.webp
"Levigatrice 1200 W
SE 12-180",AEG,"Levigatrice da 1200 watt con elettronica ad onda piena; Velocità elettronica variabile, per poter lavorare su svariati materiali e rifiniture; Motore con alta potenza, in grado di raggiungere coppie elevate; Distacco automatico delle spazzole; Accesso esterno alle spazzole per una facile sostituzione; Blocco dell'albero; Ampio e comodo interruttore; Fornita con impugnatura addizionale con protezione, calotta e platorello",/images/aeg_products/Levigatrice_1200_W_SE_12-180.webp
"Radio a batteria 12V/18V/AC con DAB & DAB+
BR 1218C",AEG,"Radio da cantiere AC/DC super compatta, solo 1,1 Kg di peso; Solo 150 mm di larghezza, per essere posizionata anche in spazi stretti; Grazie alla nuova batteria Pro Lithium-Ion da 5.0Ah fornisce fino a 20 ore di autonomia; Display retro illuminato per una migliore visibilità; Possibilità di salvare fino a 10 stazioni radio in FM e 10 stazioni in DAB+; Compatibile con la tecnologia DAB+, che garantisce una miglior qualità del suono grazie alla trasmissione in codifica digitale; Cavo AUX in per la connessione con Smartphone; Resistente all'acqua e ai detriti per soppravvivere alle condizioni ambientali del cantiere; Funziona con batterie 12V ad innesto e con le batterie 18V PRO della gamma AEG; Trasformatore 240V incluso nella confezione",/images/aeg_products/Radio_a_batteria_12V_18V_AC_con_DAB_&_DAB+_BR_1218C.webp
"Levigatrice a nastro 18V Brushless
BHBS 18-75BL",AEG,"Potente levigatrice a nastro 18V Brushless; Levigatrice a nastro compatta e leggera; Velocità variabile tramite rotalle, ideale per ogni tipo di applicazione; Possibilità di bloccare l'interruttore per un un uso più confortevole; Attacco rapido per aspirazione DEK 26; Accetta nastri lunghi fino a 457 mm e larghi 75 mm; Tecnologia AEG Pro Lithium-Ion con protezione dal sovraccarico, per la massima durata dell'utensile e della batteria",/images/aeg_products/Levigatrice_a_nastro_18V_Brushless_BHBS_18-75BL.webp
"Supporto per troncatrice
PSU 1000",AEG,"Estendibile fino a 2,3 m; Rapido rilascio dei supporti; Gambe pieghevoli; Peso leggero: solo 14 Kg; Portata fino a 180 kg; Massima leggerezza grazie alla struttura in alluminio",/images/aeg_products/Supporto_per_troncatrice_PSU_1000.webp
"PIALLA BRUSHLESS 18V
BHO 18BL",AEG,"Motore Brushless in grado di garantire prestazioni eccezionali e finiture ottimali; Larghezza taglio 82 mm; Sistema brevettato smussatura: una sola scanalatura più profonda al centro (per mantenere sempre il miglior bilanciamento possibile), e la possibilità di ritirare la lama all'interno della scarpa (per una migliore e precisa smussatura); Regolazione della profondità piallatura fino a 2 mm, per una rimozione accurata del materiale; Raccolta polveri a sinistra o destra, tramite sacchetto; Piedino integrato sulla scarpa per sollevare la lama dell'utensile (quando non in uso) dal materiale; Tecnologia AEG Pro Lithium-Ion con protezione dal sovraccarico, per la massima durata dell'utensile e della batteria",/images/aeg_products/PIALLA_BRUSHLESS_18V_BHO_18BL.webp
