name,Marca,Descrizione,image_url
"PROFESSIONAL 
                        
                    Graffettatrice a batteria FIXETTO 18/38 S",Einhell,"Componente della famiglia Power X-Change, necessaria 1 batteria da 18V; Tecnologia PressAir: senza manutenzione, né costi aggiuntivi o attrezzature; La robusta trasmissione permette fino a 60 colpi al minuto; Commutabile tra attivazione singola e in serie; Struttura robusta con impugnatura ergonomica; Caricatore con indicatore del livello di riempimento per max 100 graffette.; Apertura del caricatore tramite pulsante; Regolazione della profondità senza attrezzi per un lavoro preciso; Protezione contro l'avvio accidentale della graffatrice; Due luci LED per l'illuminazione dell'area di lavoro; Impugnatura antiscivolo ed ergonomica per una buona presa e un uso confortevole; Niente graffi grazie alle superfici laterali gommate; Pratica clip da cintura per un maggiore comfort; Adatto per graffette lunghe 10 - 38 mm e spesse 5,7 mm; La dotazione comprende 500 graffette; Fornito senza batteria e senza caricabatteria (acquistabili separatamente)",/images/einhell_products_selenium/PROFESSIONALGraffettatriceabatteriaFIXETTO1838S.webp
"PROFESSIONAL 
                        
                    Graffettatrice a batteria FIXETTO 18/50 N",Einhell,"Componente della famiglia Power X-Change, necessaria 1 batteria da 18V; Tecnologia PressAir: senza manutenzione, né costi aggiuntivi o attrezzature; La trasmissione robusta permette di eseguire fino a 60 colpi al minuto.; Commutabile tra attivazione singola e in serie; Regolazione della profondità senza attrezzi per lavori  di precisione; Struttura robusta con impugnatura ergonomica; Caricatore con indicatore del livello di riempimento per un max di 100 chiodi.; Apertura del caricatore tramite pulsante; I chiodi bloccati nel canale del colpo possono essere rimossi senza attrezzi.; Protezione contro l'avvio accidentale della chiodatrice; Due luci a LED per l'illuminazione dell'area di lavoro; Impugnatura antiscivolo ed ergonomica per una buona presa e un uso confortevole; Niente graffi grazie alle superfici laterali gommate; Pratica clip da cintura per un maggiore comfort; Adatto per chiodi lunghi 15 - 50 mm e spessi 1,0 mm; La dotazione comprende 500 chiodi; Fornito senza batteria e senza caricabatteria (acquistabili separatamente)",/images/einhell_products_selenium/PROFESSIONALGraffettatriceabatteriaFIXETTO1850N.webp
"PROFESSIONAL 
                        
                    Agitatore per vernice/malta senza fili TP-MX 18-2 Li BL - Solo",Einhell,"Componente della famiglia Power X-Change, necessaria 1 batteria da 18V; Motore senza spazzole - più potenza e maggiore autonomia di lavoro; PurePOWER Brushless - 10 anni di garanzia sul motore dopo la registrazione; Miscelazione senza cavi – Sulle impalcature, in costruzioni grezze o sul tetto; Trasmiss. a 2 vel. per una coppia elevata ed elevate prestazioni di miscelazione; Sistema elettronico di regolaz. dei giri per adattarsi al lavoro e al materiale; Impugnatura ergonomica antiscivolo per lavorare confortevolmente; Adatta per lavorare in piedi senza affaticare la schiena.; Blocco  della trasmissione in alluminio robusto  e durevole; Con funzione Softstart per un avvio confortevole e senza spruzzi; Robusto attacco per agitatore con filettatura M14; Incl. 1 agitatore (Ø 120 mm); Fornito senza batteria e senza caricabatteria (acquistabili separatamente)",/images/einhell_products_selenium/PROFESSIONALAgitatorepervernicemaltasenzafiliTP-MX18-2LiBL-Solo.webp
"PROFESSIONAL 
                        
                    Levigatrice per cartongesso a batteria TP-DW 18/225 Li - Solo",Einhell,"Membro della famiglia Power X-Change; Controllo elettronico della velocità; Pulsante bloccabile per un funzionamento senza fatica; Sistema aspirazione polvere integrato per un lavoro pulito; Disco abrasivo con un ottimale contatto con la parete; Disco abrasivo con chiusura a micro fissaggio a strappo; Platorello con spazzola ad anello, posto di lavoro pulito; Manico pieghevole per un facile trasporto e stoccaggio; Le superfici Softgrip consentono di lavorare senza fatica; Prolunga rimovibile in alluminio con maniglia aggiuntiva; Incl. un tubo di prolunga con piede di supporto integrato; Incl. sacco polvere con chiusura a sgancio rapido e imbracatura; Incl. 6x fogli di carta abrasiva e 1x foglio di rete abrasiva; Incl. 1x adattatore per collegare aspiratore adatto; Fornito in una pratica valigetta; Fornito senza batteria/caricabatteria (disponibile separatamente)",/images/einhell_products_selenium/PROFESSIONALLevigatricepercartongessoabatteriaTP-DW18225Li-Solo.webp
"PROFESSIONAL 
                        
                    Levigatrice per cartongesso a batteria TP-DWS 18/225 Li BL Solo",Einhell,"Componente della famiglia Power X-Change, richiede 1 batteria da 18 V; Motore senza spazzole - più potenza e maggiore autonomia; PurePOWER Brushless – 10 anni di garanzia sul motore dopo la registrazione; Regolazione elettronica dei giri a seconda del tipo di lavoro e materiale; Interruttore di funzione con pulsante di blocco per lavorare senza affaticarsi; Aspirapolvere integrato per un lavoro pulito e flessibile; Piastra abrasiva con supporto a molla per un contatto ottimale con la parete; Piastra abrasiva fissabile, ad esempio per levigare il legno; Disco abrasivo con fissaggio a strappo; Impugnatura supplementare regolabile per una guida sicura; Superfici di presa morbide per una comoda maneggevolezza; Incl. sacco raccoglipolvere con tubo flessibile ed estensibile; Incluso adattatore per il collegamento del corrispondente aspirapolvere; Incl. 6 pz. carta vetrata e 1 pz. retina abrasiva; Fornitura senza batteria e senza caricabatterie (acquistabili separatamente)",/images/einhell_products_selenium/PROFESSIONALLevigatricepercartongessoabatteriaTP-DWS18225LiBLSolo.webp
"PROFESSIONAL 
                        
                    Seghetti a batteria TP-JS 18/135 Li BL - Solo",Einhell,"Componente della famiglia Power X-Change, richiede 1 batteria da 18 V; Motore senza spazzole - più potenza e maggiore autonomia; Brushless – 10 anni di garanzia sul motore dopo la registrazione; Elevata scorrevolezza per tagli precisi; Movimento pendolare attivabile per tagli rapidi; Regolazione elettronica della velocità per una guida ottimale dell'attrezzo; Porta-lama universale che non richiede attrezzi; Con funzione di rimozione della polvere per una migliore visibilità; Luce LED per l’illuminazione della zona di taglio; Indicatore della linea di taglio per tagli precisi; Piastra di base stabile in alluminio per ridurre le vibrazioni; Inserto integrato in plastica di protezione dei pezzi da lavorare delicati; Robusta guida parallela per tagli precisi e rettilinei; Inclusa protezione antischegge per tagli puliti; Incl. 1 lama per seghetto alternativo per legno; Consegna senza batteria e caricabatteria (acquistabili separatamente)",/images/einhell_products_selenium/PROFESSIONALSeghettiabatteriaTP-JS18135LiBL-Solo.webp
"PROFESSIONAL 
                        
                    Seghetti a batteria TP-JST 18/135 Li BL - Solo",Einhell,"Componente della famiglia Power X-Change, richiede 1 batteria da 18 V; Motore senza spazzole - più potenza e maggiore autonomia; PurePOWER Brushless – 10 anni di garanzia sul motore dopo la registrazione; Impugnatura a T sopra la testata che agevola la guida dell'attrezzo; Elevata scorrevolezza per tagli precisi; Movimento pendolare attivabile per tagli rapidi; Regolazione elettronica dei giri per adattarsi a diversi tipi di materiali; Porta-lama universale che non richiede attrezzi; Soffiaggio della polvere per una migliore visibilità dell'area di lavoro; Luce LED per l’illuminazione della zona di taglio; Indicatore della linea di taglio per tagli precisi; Interruttore per il blocco in posizione di funzionamento continuo; Alloggiamento interno e piastra di base in alluminio antivibrante; Pattino di protezione dei componenti delicati; Robusta guida parallela per tagli precisi e rettilinei; Inclusa protezione antischegge per la pulizia durante il taglio; Angolazione ottimale di aspirazione della polvere a 90° del tubo flessibile; Chiave a brugola per la regolazione dell'angolazione; Incl. 3 lame per seghetto alternativo per legno; Consegna senza batteria e caricabatterie (acquistabili separatamente)",/images/einhell_products_selenium/PROFESSIONALSeghettiabatteriaTP-JST18135LiBL-Solo.webp
"PROFESSIONAL 
                        
                    Segacci universali a batteria TP-AP 18/28 Li BL - Solo",Einhell,"Componente della famiglia Power X-Change, necessaria 1 batteria da 18V; Motore senza spazzole - più potenza e maggiore autonomia; PurePOWER Brushless – motore garantito 10 anni dopo la registrazione; Maniglia principale girevole per la massima flessibilità; Vibrazioni ridotte grazie alla funzione anti-vibrazioni; Piastra graduata regolabile senza necessità di attrezzi per un utilizzo ottimale della lama; Sostituzione veloce della lama, senza necessità di attrezzi; Impugnatura ergonomica con superficie rivestita con Softgrip; Consiglio per risultati ottimali: Batteria da 2,5 Ah o superiore; Fornita senza batteria e senza caricabatteria (acquistabili separatamente); Include lama dentata (per legno) qualità Einhell",/images/einhell_products_selenium/PROFESSIONALSegacciuniversaliabatteriaTP-AP1828LiBL-Solo.webp
"PROFESSIONAL 
                        
                    Seghe circolari a batteria TP-CS 18/190 Li BL - Solo",Einhell,"Componente della famiglia Power X-Change, necessaria 1 batteria da 18V; Motore senza spazzole - più potenza e maggiore autonomia; PurePOWER Brushless – motore garantito 10 anni dopo la registrazione; Regolazione facile senza utensili; Maniglia ergonomica per lavorare senza sforzo; Luce LEDdi alta qualità per un'illuminazione ottimale; Platorello in alluminio; Cambio lama facilitato con levetta; Lama in carbonio di alta qualità; Utilizzabile con lame con foro da Ø 20,30 mm; dotato di adattatatore per dispositivo antipolvere; Compatibile con il binario guida Einhell; Guida parallela per tagli precisi; Fornito senza batteria e caricabatteria",/images/einhell_products_selenium/PROFESSIONALSeghecircolariabatteriaTP-CS18190LiBL-Solo.webp
"PROFESSIONAL 
                        
                    Pialletto a batteria TP-PL 18/3 Li BL - Solo",Einhell,"Componente della famiglia Power X-Change, richiede 1 batteria da 18 V; Motore senza spazzole - più potenza e maggiore autonomia; PurePOWER Brushless – 10 anni di garanzia sul motore dopo la registrazione; Potente pialla manuale con elevata profondità di affilatura; Albero della lama di grandi dimensioni per risultati di piallatura ottimali; Espulsione del truciolo selezionabile su due lati per un lavoro flessibile; Piano della pialla in alluminio massiccio per risultati di piallatura ottimali; Pedana con scanalature a 3 V per una facile smussatura dei bordi; Regolazione semplice e visibile della profondità di asportazione; Protezione del pezzo lavorato e della lama con pattino automatico di parcheggio; Guida parallela inclusa per lavori di piallatura rettilinei e precisi; Guida di profondità inclusa per facilitare la creazione di scanalature; Adattatore per il collegamento di aspiratori a umido e a secco Einhell; Impugnatura ergonomica per lavorare senza affaticarsi; Manipolazione confortevole e sicura grazie all'impugnatura morbida; Incl. 2 resistenti lame per pialla TCT (lame reversibili); Consiglio per risultati ottimali: batteria da 2,5 Ah o superiore; Fornitura senza batteria e senza caricabatterie (acquistabili separatamente)",/images/einhell_products_selenium/PROFESSIONALPiallettoabatteriaTP-PL183LiBL-Solo.webp
