marca,name,descrizione,image_url
spit,PROLINE 160 - Compressore PROLINE 160 - capacità 6 litri - pressione max 8 bar,"Caratteristiche e vantaggi:
Maneggevole grazie al peso ridotto
Facile da trasportare con la maniglia ad impugnatura larga
Dotato di piedini in gomma antiurto
Veloce riempimento d'aria nel serbatoio
Oiless per elevate performance a basse temperature",/images/spit_prodotti_2/PROLINE160-CompressorePROLINE160-capacità6litri-pressionemax8bar.webp
spit,"IM 45 CW LITIO - Chiodatrice a gas/batteria per chiodi elettrosaldati 16°, da 22 a 35 mm di lunghezza","Caratteristiche e vantaggi:
Batteria al litio a ricarica rapida: fino a 4.200 chiodi per carica completa (1h 30m)
Ideale per superfici sino a 200-250 mq e per lavori di manutenzione/riparazione
Regolazione di profondità per la corretta infissione del chiodo
Dimensioni contenute, ben bilanciata, maneggevole
Sistema a caricamento rapido, capacità caricatore 125 chiodi
Impugnatura gommata, ergonomica e antiscivolo",/images/spit_prodotti_2/IM45CWLITIO-Chiodatriceagasbatteriaperchiodielettrosaldati16da22a35mmdilunghezza.webp
spit,"IM 45 GN LITIO - Chiodatrice a gas/batteria per chiodi nastrati in plastica 0°, da 25 a 45 mm di lunghezza","Caratteristiche e vantaggi:
Versatile, vasta gamma di chiodi rullati, chiodi per cartongesso e Nailscrew
Sistema di nastratura in plastica 0°: il chiodo fissato non riporta detriti o frammenti
Capacità caricatore 125 chiodi
Regolatore di profondità per la corretta infissione del chiodo
Sistema LNL: ultimati i chiodi la macchina diventa inoperativa sino a nuova ricarica
Puntale removibile in materiale plastico per operare su superfici delicate
Attrezzo indicato per operare in spazi ristretti e negli angoli
Caricatore trasparente per rendere visibile la rimanente quantità di chiodi nel rotolo",/images/spit_prodotti_2/IM45GNLITIO-Chiodatriceagasbatteriaperchiodinastratiinplastica0da25a45mmdilunghezza.webp
spit,"IM90Xi Litio - Chiodatrice a gas/batteria per chiodi nastrati su carta 34°, da 50 a 90 mm di lunghezza","Il sistema di chiodatura a batteria più affidabile, confortevole e ad alte prestazioni per le applicazioni di carpentieri e tetti
Caratteristiche e vantaggi:
L'innovativo sistema Start & Go consente fino al 25% di fissaggi in più per ogni carica di batteria
Indicatori livello di gas e batteria: funzionalità dell'attrezzo sempre sotto controllo
Caricamento batteria estremamente rapido: 13.000 chiodi fissati con batteria completamente carica (90 min.)
Elevate prestazioni anche alle basse temperature: funziona fino a -15C°
Il miglior rapporto peso/potenza
Ridotta pressione per attivare meccanismo di chiodatura, minore fatica
Puntale dentato, facilità di tiro in obliquo
Regolatore di profondità per l'idonea infissione del chiodo
Impugnatura gommata antiscivolo per una presa salda e confortevole",/images/spit_prodotti_2/IM90XiLitio-Chiodatriceagasbatteriaperchiodinastratisucarta34da50a90mmdilunghezza.webp
spit,"PPN50Xi Litio - Chiodatrice a gas/batteria positive placement per chiodi nastrati su carta 34°, da 50 a 60 mm di lunghezza","Caratteristiche e vantaggi:
100% autonoma, senza cavi elettrici o del compressore, per una totale mobilità
Batteria al litio a ricarica rapida, fino a 13.000 fissaggi a piena carica. Molteplici giorni di cantiere con 1 sola carica.
Il miglior rapporto peso/potenza. Decisamente più comfortevole rispetto alle chiodatrici a sola batteria.
L'innovativo sistema Start & Go consente fino al 25% di fissaggi in più per ogni carica di batteria
Il puntale autocentrante assicura il preciso e veloce posizionamento dei chiodi
Utilizza chiodi Anker rullati induriti (Hardflex) di alta qualità
Indicatore di autonomia di gas e batteria
Elevate prestazioni anche alle basse temperature: da -15°C a +49 °C
Regolatore di profondità di facile utilizzo per il fissaggio ottimale
Impugnatura gommata: ergonomica ed antiscivolo anche con utilizzo di guanti",/images/spit_prodotti_2/PPN50XiLitio-Chiodatriceagasbatteriapositiveplacementperchiodinastratisucarta34da50a60mmdilunghezza.webp
spit,"IM100Xi Litio - Chiodatrice a gas/batteria per chiodi nastrati su carta 34°, da 63 a 100 mm di lunghezza","Il sistema di chiodatura cordless più affidabile, comodo e ad alte prestazioni per applicazioni multiple di carpentieri e conciatetti fino a 100 mm
Caratteristiche e vantaggi:
Nessuna carica giornaliera: fino a 5 tetti con 1 carica della batteria
Massima ergonomia, nessuna fatica: solleva fino a 3 tonnellate in meno per tetto grazie a uno strumento leggero e ben bilanciato.
Strumento multiuso: gamma completa di accessori e dispositivi di fissaggio fino a 100 mm di lunghezza
Nessun fermo macchina nei cantieri: tecnologia affidabile e collaudata da oltre 30 anni
Utilizzo in qualsiasi condizione atmosferica: temperatura di lavoro da -15°C a +49°C.Nessuna mancanza di energia durante le sessioni di lavoro: l'indicatore di potenza mostra rapidamente la potenza e il carburante rimanenti
Finitura perfetta e uniforme: facile regolazione della profondità di azionamento
Compatibile con destrimani e mancini: la cintura bifunzionale e il gancio per trave possono essere posizionati su entrambi i lati",/images/spit_prodotti_2/IM100XiLitio-Chiodatriceagasbatteriaperchiodinastratisucarta34da63a100mmdilunghezza.webp
spit,"COMBI Xi - Chiodatrice a gas senza filo per chiodi in striscia di carta da 34° da 50 a 90 mm, incluso caricatore e sonda su misura per chiodi di connettori metallici da 35 a 50 mm","L'unica chiodatrice 2 in 1 per applicazioni strutturali e installazione di connettori metallici
Caratteristiche e vantaggi:
105 Joule di potenza, in grado di piantare chiodi per carpenteria da 51 a 90 mm e chiodi elicoidali temprati;
Il primo utensile 2 in 1 al mondo: tutto in un'unica scatola, occupa meno spazio nel furgone, tutto ciò di cui hai bisogno in un'unica valigetta per applicazioni di carpenteria e lavorazione dei metalli;
Caricatori e naselli a sgancio rapido: non servono attrezzi per passare dalle applicazioni di intelaiatura a quelle di lavorazione dei metalli;
Per la lavorazione dei metalli, 6 volte più veloce della chiodatura manuale, con sonda nasale auto-localizzante per una precisione millimetrica, riduce l'affaticamento e gli infortuni personali e consente una migliore accessibilità nelle aree difficili da raggiungere;
Batteria al litio ad alte prestazioni e ricarica rapida (200 fissaggi in soli 2 minuti), che consente di effettuare fino a 13.000 fissaggi per carica, equivalenti a oltre 5 pacchi di bombolette per chiodi;
Le prestazioni in climi freddi consentono all'utente di lavorare fino a -15°C.",/images/spit_prodotti_2/COMBIXi-Chiodatriceagassenzafiloperchiodiinstrisciadicartada34da50a90mminclusocaricatoreesondasumisuraperchiodidiconnettorimetallicida35a50mm.webp
spit,LITHIUM BATTERY - Batteria ad alta capacità per chiodatrici strutturali Ci e chiodatrici da finitura al litio,,/images/spit_prodotti_2/LITHIUMBATTERY-BatteriaadaltacapacitàperchiodatricistrutturaliCiechiodatricidafinituraallitio.webp
spit,CARICA BATTERIA IMPULSE LITIO,,/images/spit_prodotti_2/CARICABATTERIAIMPULSELITIO.webp
spit,ADATTATORI AC/DC - Alimentatore AC/DC per carica-batteria di chiodatrici cordless Spit o Paslode,,/images/spit_prodotti_2/ADATTATORIACDC-AlimentatoreACDCpercarica-batteriadichiodatricicordlessSpitoPaslode.webp
